,CompensationCurrency,GenderSelect,Country,Age,EmploymentStatus,StudentStatus,LearningDataScience,CodeWriter,CareerSwitcher,CurrentJobTitleSelect,TitleFit,CurrentEmployerType,DataScienceIdentitySelect,FormalEducation,MajorSelect,Tenure,LanguageRecommendationSelect,CompensationAmount,ExchangeRate(USA),CompensationYearUSD
130,AUD,Male,Australia,50,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Master's degree,Engineering (non-computer focused),6 to 10 years,Python,2.00E+05,0.80231,160462
131,AUD,Female,Australia,38,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Yes,Master's degree,"Information technology, networking, or system administration",3 to 5 years,Python,27000,0.80231,21662.37
132,AUD,Male,Australia,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by professional services/consulting firm,NA,Doctoral degree,Electrical Engineering,More than 10 years,R,140000,0.80231,112323.4
133,AUD,Female,Australia,39,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Doctoral degree,Physics,6 to 10 years,Python,350000,0.80231,280808.5
134,AUD,Male,Australia,35,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by a company that performs advanced analytics,No,Bachelor's degree,Computer Science,3 to 5 years,Python,116000,0.80231,93067.96
135,AUD,Female,Australia,48,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Analyst,Poorly,Employed by a company that doesn't perform advanced analytics,No,Master's degree,A humanities discipline,6 to 10 years,R,250000,0.80231,200577.5
136,AUD,Female,Australia,25,Employed part-time,NA,NA,Yes,NA,Data Miner,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Mathematics or statistics,Less than a year,Python,65000,0.80231,52150.15
137,AUD,Male,Australia,40,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",No,Bachelor's degree,Computer Science,3 to 5 years,Python,120000,0.80231,96277.2
138,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Electrical Engineering,3 to 5 years,Python,NA,0.80231,NA
139,AUD,Male,Australia,38,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Engineering (non-computer focused),More than 10 years,NA,1.00E+05,0.80231,80231
140,AUD,Male,Australia,31,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,More than 10 years,Python,137000,0.80231,109916.47
141,AUD,Male,Australia,52,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by company that makes advanced analytic software,Yes,Doctoral degree,Other,More than 10 years,Python,230000,0.80231,184531.3
142,AUD,Male,Australia,57,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by company that makes advanced analytic software,No,Bachelor's degree,NA,More than 10 years,Other,90000,0.80231,72207.9
143,AUD,Male,Australia,32,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,More than 10 years,R,120000,0.80231,96277.2
144,AUD,Male,Australia,28,Employed full-time,NA,NA,Yes,NA,Data Analyst,Perfectly,Employed by professional services/consulting firm,Sort of (Explain more),Doctoral degree,Engineering (non-computer focused),1 to 2 years,Python,67000,0.80231,53754.77
145,AUD,Male,Australia,33,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Computer Science,3 to 5 years,R,88000,0.80231,70603.28
146,AUD,Male,Australia,32,Employed part-time,NA,NA,Yes,NA,Data Scientist,Fine,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software",NA,Bachelor's degree,Computer Science,6 to 10 years,Python,90,0.80231,72.2079
147,AUD,Male,Australia,53,Employed full-time,NA,NA,Yes,NA,Business Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Mathematics or statistics,More than 10 years,R,150000,0.80231,120346.5
148,AUD,Male,Australia,52,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Business Analyst,Poorly,Self-employed,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",More than 10 years,R,2.00E+05,0.80231,160462
149,AUD,Male,Australia,62,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Mathematics or statistics,More than 10 years,R,180000,0.80231,144415.8
150,AUD,Male,Australia,33,Employed part-time,NA,NA,Yes,NA,Other,Poorly,Employed by college or university,Yes,Doctoral degree,Computer Science,More than 10 years,R,85000,0.80231,68196.35
151,AUD,Male,Australia,40,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,NA,NA,NA,Bachelor's degree,Computer Science,More than 10 years,R,250000,0.80231,200577.5
152,AUD,Female,Australia,28,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,No,Doctoral degree,Mathematics or statistics,Less than a year,C/C++/C#,24000,0.80231,19255.44
153,AUD,Male,Australia,23,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Yes,Master's degree,Computer Science,3 to 5 years,R,1.00E+05,0.80231,80231
154,AUD,Male,Australia,34,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that doesn't perform advanced analytics,NA,Doctoral degree,Computer Science,More than 10 years,Python,250000,0.80231,200577.5
155,AUD,Male,Australia,36,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by a company that performs advanced analytics,NA,Master's degree,NA,3 to 5 years,Python,130000,0.80231,104300.3
156,AUD,Male,Australia,42,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that doesn't perform advanced analytics,No,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,Python,75000,0.80231,60173.25
117,AUD,Male,Singapore,26,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by government,Sort of (Explain more),Bachelor's degree,A social science,1 to 2 years,Python,0,0.80231,0
157,AZN,Female,Argentina,28,Employed full-time,NA,NA,Yes,NA,Engineer,Poorly,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Physics,3 to 5 years,C/C++/C#,70000,0.588352,41184.64
158,BAM,Male,Other,48,Employed full-time,NA,NA,Yes,NA,Statistician,Perfectly,Employed by college or university,No,Doctoral degree,Mathematics or statistics,3 to 5 years,NA,8000,0.611383,4891.064
159,BDT,Male,Other,29,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Statistician,Fine,Self-employed,No,Master's degree,Mathematics or statistics,3 to 5 years,R,40000,0.012162,486.48
160,BDT,Male,Other,28,Employed full-time,NA,NA,Yes,NA,Engineer,Perfectly,Employed by professional services/consulting firm,Sort of (Explain more),Bachelor's degree,Other,Less than a year,C/C++/C#,590000,0.012162,7175.58
161,BDT,Male,Other,22,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",No,Master's degree,Computer Science,1 to 2 years,Python,50000,0.012162,608.1
162,BDT,Male,Other,36,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Machine Learning Engineer,Poorly,Employed by a company that performs advanced analytics,No,Master's degree,Computer Science,1 to 2 years,Python,5.00E+06,0.012162,60810
163,BDT,Male,Other,24,Employed full-time,NA,NA,Yes,NA,Researcher,Fine,Employed by college or university,Sort of (Explain more),Bachelor's degree,Electrical Engineering,1 to 2 years,Python,360000,0.012162,4378.32
164,BGN,Female,Other,25,Employed full-time,NA,NA,Yes,NA,Data Analyst,Perfectly,Employed by professional services/consulting firm,Yes,Master's degree,NA,3 to 5 years,SAS,NA,0.611395,NA
165,BGN,Male,Other,25,Employed part-time,NA,NA,Yes,NA,Scientist/Researcher,Fine,Employed by company that makes advanced analytic software,Yes,Bachelor's degree,Mathematics or statistics,1 to 2 years,Python,20000,0.611395,12227.9
166,BGN,Male,Taiwan,27,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,"Employed by professional services/consulting firm,Employed by a company that doesn't perform advanced analytics",No,Master's degree,Computer Science,1 to 2 years,Stata,0,0.611395,0
168,BHD,Male,Other,26,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Bachelor's degree,Computer Science,3 to 5 years,Python,6600,2.652053,17503.5498
167,BHD,Male,China,23,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by college or university,Yes,Master's degree,Physics,Less than a year,SQL,NA,2.652053,NA
169,BIF,Male,India,48,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by a company that performs advanced analytics,NA,Master's degree,A social science,More than 10 years,Python,0,0.000572,0
170,BIF,Male,Other,26,Employed part-time,NA,NA,Yes,NA,Engineer,Fine,"Employed by company that makes advanced analytic software,Employed by college or university",Yes,Master's degree,Electrical Engineering,3 to 5 years,SQL,1.00E+05,0.000572,57.2
171,BRL,Male,Brazil,31,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Perfectly,Employed by a company that doesn't perform advanced analytics,No,Bachelor's degree,Computer Science,Less than a year,Python,120000,0.32135,38562
172,BRL,Male,Brazil,26,Employed full-time,NA,NA,Yes,NA,Other,Perfectly,Employed by professional services/consulting firm,No,Bachelor's degree,Other,Less than a year,Python,6700,0.32135,2153.045
173,BRL,Female,Brazil,34,Employed full-time,NA,NA,Yes,NA,Programmer,Fine,Employed by company that makes advanced analytic software,Yes,Master's degree,"Information technology, networking, or system administration",6 to 10 years,Python,4500,0.32135,1446.075
174,BRL,Male,Brazil,34,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that doesn't perform advanced analytics,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,Python,1.00E+05,0.32135,32135
175,BRL,Male,Brazil,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Fine,Employed by company that makes advanced analytic software,NA,Master's degree,Computer Science,1 to 2 years,Python,150000,0.32135,48202.5
176,BRL,Male,Brazil,29,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,No,Doctoral degree,Mathematics or statistics,6 to 10 years,Matlab,49200,0.32135,15810.42
177,BRL,Male,Brazil,28,Employed full-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by a company that performs advanced analytics,NA,Bachelor's degree,Mathematics or statistics,6 to 10 years,Python,150000,0.32135,48202.5
178,BRL,Male,Brazil,30,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,"Employed by professional services/consulting firm,Employed by non-profit or NGO",Yes,Bachelor's degree,I never declared a major,6 to 10 years,Python,1.00E+05,0.32135,32135
179,BRL,Male,Brazil,33,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by professional services/consulting firm,Yes,Master's degree,Computer Science,3 to 5 years,Python,210000,0.32135,67483.5
180,BRL,Male,Brazil,35,Employed full-time,NA,NA,Yes,NA,Data Scientist,Poorly,Employed by government,NA,Master's degree,Biology,3 to 5 years,Python,72000,0.32135,23137.2
181,BRL,Male,Brazil,27,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,"Employed by college or university,Employed by a company that performs advanced analytics",Yes,Master's degree,Computer Science,3 to 5 years,Julia,60000,0.32135,19281
182,BRL,Male,Brazil,26,Employed full-time,NA,NA,Yes,NA,Engineer,Fine,Employed by company that makes advanced analytic software,No,Bachelor's degree,Other,More than 10 years,R,25000,0.32135,8033.75
183,BRL,Male,Brazil,24,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Sort of (Explain more),Master's degree,Computer Science,3 to 5 years,Python,26400,0.32135,8483.64
184,BRL,Male,Brazil,38,Employed full-time,NA,NA,Yes,NA,Statistician,Poorly,Employed by government,Yes,Master's degree,Computer Science,More than 10 years,R,87000,0.32135,27957.45
185,BRL,Male,Brazil,25,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Machine Learning Engineer,Fine,Self-employed,Yes,Master's degree,Engineering (non-computer focused),1 to 2 years,Python,18000,0.32135,5784.3
186,BRL,Male,Brazil,37,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Data Scientist,Fine,Self-employed,NA,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,Python,2.00E+05,0.32135,64270
187,BRL,Female,Brazil,28,Employed full-time,NA,NA,Yes,NA,Computer Scientist,Fine,Employed by college or university,Yes,Doctoral degree,Computer Science,3 to 5 years,Python,48000,0.32135,15424.8
188,BRL,Male,Brazil,30,Employed full-time,NA,NA,Yes,NA,Data Analyst,Fine,Employed by a company that performs advanced analytics,Sort of (Explain more),Master's degree,Computer Science,1 to 2 years,Python,150000,0.32135,48202.5
189,BRL,Male,Brazil,32,Employed full-time,NA,NA,Yes,NA,DBA/Database Engineer,Perfectly,Employed by professional services/consulting firm,Yes,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,R,120000,0.32135,38562
190,BRL,Male,Brazil,26,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by government,No,Master's degree,Computer Science,1 to 2 years,Python,72000,0.32135,23137.2
191,BRL,Male,Brazil,27,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,Yes,Bachelor's degree,NA,3 to 5 years,R,65000,0.32135,20887.75
192,BRL,Male,Brazil,22,Employed part-time,NA,NA,Yes,NA,Data Scientist,Perfectly,Employed by company that makes advanced analytic software,NA,Bachelor's degree,Computer Science,1 to 2 years,Python,12000,0.32135,3856.2
193,BRL,Male,Brazil,34,Employed full-time,NA,NA,Yes,NA,Scientist/Researcher,Perfectly,Employed by college or university,Yes,Doctoral degree,Mathematics or statistics,3 to 5 years,R,NA,0.32135,NA
194,BRL,Male,Brazil,22,Employed part-time,NA,NA,Yes,NA,DBA/Database Engineer,Fine,Employed by company that makes advanced analytic software,Sort of (Explain more),Bachelor's degree,Computer Science,1 to 2 years,Python,60000,0.32135,19281
195,BRL,Male,Brazil,28,Employed full-time,NA,NA,Yes,NA,Other,Poorly,Employed by professional services/consulting firm,No,Bachelor's degree,Other,1 to 2 years,Python,56200,0.32135,18059.87
196,BRL,Male,Brazil,44,Employed full-time,NA,NA,Yes,NA,Machine Learning Engineer,Fine,Employed by company that makes advanced analytic software,Yes,Doctoral degree,Engineering (non-computer focused),More than 10 years,R,3.00E+05,0.32135,96405
197,BRL,Male,Brazil,35,Employed full-time,NA,NA,Yes,NA,Software Developer/Software Engineer,Fine,Employed by a company that performs advanced analytics,Yes,Bachelor's degree,Computer Science,1 to 2 years,Python,240000,0.32135,77124
198,BRL,Male,Brazil,34,"Independent contractor, freelancer, or self-employed",NA,NA,Yes,NA,Scientist/Researcher,Fine,Self-employed,Yes,Doctoral degree,Electrical Engineering,More than 10 years,Python,60000,0.32135,19281
